now[ms],AHT_tmp[C],AHT_hum,BMP_temp[C],BMP_pres,gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz,volt
4861,21.92,53.11,22.39,102647,7.992,0.733,2.557,-0.113,-0.150,0.888,40.34,1076.00,-155.00,-810.00,3087.0000
4940,21.91,53.13,22.39,102639,-9.374,11.687,-12.420,-0.049,-0.177,1.081,40.34,1095.00,-183.00,-787.00,3083.0000
5014,21.91,53.11,22.39,102639,-2.588,8.626,6.099,-0.076,-0.174,0.995,40.01,1105.00,-188.00,-795.00,3084.0000
5088,21.92,53.15,22.39,102645,-14.267,4.985,-15.931,-0.008,-0.235,1.055,40.25,1121.00,-173.00,-775.00,3083.0000
5162,21.91,53.17,22.39,102645,27.763,-0.145,-2.885,0.081,-0.283,1.005,40.06,1090.00,-173.00,-792.00,3085.0000
5236,21.92,53.20,22.40,102653,25.802,-11.145,-11.985,-0.086,-0.253,1.016,40.20,1066.00,-150.00,-820.00,3082.0000
5315,21.91,53.22,22.40,102653,2.511,-2.336,-22.840,-0.001,-0.156,0.966,40.06,1080.00,-137.00,-817.00,3085.0000
5391,21.90,53.25,22.40,102649,10.702,-1.992,-12.412,0.108,-0.174,0.875,40.01,1077.00,-135.00,-835.00,3085.0000
5465,21.91,53.30,22.40,102649,3.206,1.053,-22.260,0.188,-0.193,0.988,40.25,1095.00,-127.00,-820.00,3086.0000
5539,21.92,53.33,22.41,102649,3.740,11.992,-11.053,0.099,-0.156,0.953,40.06,1095.00,-137.00,-822.00,3085.0000
5618,21.93,53.40,22.41,102649,-0.794,5.496,-18.542,0.087,-0.160,1.028,40.25,1116.00,-145.00,-805.00,3083.0000
5692,21.95,53.42,22.45,102649,3.931,8.756,-10.115,0.108,-0.213,0.966,40.34,1108.00,-156.00,-810.00,3086.0000
5766,21.94,53.47,22.45,102649,2.809,14.763,-37.198,-0.069,-0.286,1.055,39.92,1160.00,-152.00,-782.00,3086.0000
5840,21.95,53.50,22.47,102647,-18.191,22.511,-67.046,-0.099,-0.271,1.092,40.15,1251.00,-117.00,-750.00,3086.0000
5914,21.97,53.54,22.47,102647,-27.168,27.458,-68.969,-0.037,-0.242,0.966,39.92,1303.00,-93.00,-705.00,3085.0000
5993,21.96,53.63,22.48,102648,19.748,18.969,-40.198,0.020,-0.296,0.934,40.06,1316.00,-70.00,-727.00,3086.0000
6067,21.97,53.67,22.48,102648,20.992,16.000,-31.672,0.018,-0.260,0.942,40.15,1311.00,-62.00,-725.00,3085.0000
6141,21.98,53.69,22.49,102651,14.702,2.748,-36.542,0.003,-0.258,0.960,40.20,1345.00,-18.00,-715.00,3086.0000
6215,22.00,53.73,22.49,102651,10.198,-0.405,-46.626,0.092,-0.285,0.959,40.25,1356.00,26.00,-727.00,3086.0000
6289,22.00,53.77,22.50,102652,21.115,-6.939,-34.290,0.042,-0.274,1.064,40.15,1358.00,57.00,-737.00,3085.0000
6368,22.01,53.81,22.52,102653,5.847,9.573,-49.214,-0.044,-0.278,0.973,40.34,1373.00,117.00,-737.00,3086.0000
6442,22.02,53.85,22.52,102653,14.038,9.962,-70.878,-0.092,-0.307,1.011,40.25,1407.00,173.00,-730.00,3087.0000
6516,22.02,53.90,22.54,102655,-10.588,32.855,-74.695,-0.041,-0.359,1.006,40.25,1426.00,207.00,-705.00,3086.0000
6590,22.02,53.93,22.54,102655,16.305,32.992,-69.420,-0.087,-0.315,0.904,40.25,1426.00,258.00,-722.00,3085.0000
6669,22.03,53.95,22.54,102654,12.809,22.756,-72.496,-0.143,-0.280,0.988,40.25,1450.00,336.00,-722.00,3084.0000
6743,22.05,53.98,22.54,102654,-4.450,23.511,-91.145,-0.139,-0.236,0.872,40.34,1457.00,437.00,-682.00,3086.0000
6817,22.05,54.04,22.54,102655,-2.649,20.908,-75.290,-0.094,-0.238,0.982,40.06,1478.00,488.00,-705.00,3083.0000
6891,22.07,54.10,22.54,102655,-18.427,27.901,-79.626,-0.203,-0.226,0.983,40.34,1488.00,548.00,-682.00,3084.0000
6979,22.05,54.23,22.55,102656,17.359,20.023,-72.046,-0.210,-0.256,1.036,40.39,1475.00,628.00,-690.00,3085.0000
7073,22.04,54.29,22.55,102656,2.267,20.344,-87.389,-0.148,-0.310,0.863,40.15,1436.00,716.00,-695.00,3086.0000
7149,22.05,54.29,22.54,102652,37.214,40.382,-76.382,-0.206,-0.348,0.889,40.25,1337.00,745.00,-760.00,3086.0000
7223,22.06,54.26,22.54,102652,72.824,22.771,-70.809,-0.167,-0.249,0.839,40.25,1248.00,781.00,-792.00,3085.0000
7297,22.07,54.29,22.55,102654,11.931,20.725,-64.595,-0.060,-0.237,0.913,40.25,1198.00,806.00,-832.00,3083.0000
7376,22.08,54.36,22.55,102654,5.718,34.611,-48.176,-0.218,-0.228,1.005,40.39,1176.00,791.00,-830.00,3085.0000
7450,22.08,54.40,22.54,102656,-25.511,25.435,-54.832,-0.158,-0.261,1.018,40.20,1186.00,817.00,-827.00,3079.0000
7524,22.08,54.46,22.54,102656,-12.511,17.809,-56.679,-0.099,-0.336,0.990,40.44,1167.00,835.00,-825.00,3084.0000
7598,22.09,54.46,22.55,102655,17.405,3.130,-60.954,0.016,-0.313,0.858,40.34,1123.00,883.00,-830.00,3084.0000
7672,22.10,54.49,22.55,102655,8.206,9.466,-56.992,-0.110,-0.298,0.948,40.34,1090.00,886.00,-852.00,3086.0000
7751,22.09,54.51,22.55,102655,-8.748,14.748,-61.863,-0.199,-0.272,0.951,40.25,1048.00,905.00,-857.00,3084.0000
