now[ms],AHT_tmp[C],AHT_hum,BMP_temp[C],BMP_pres,gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz,volt
2872,0.00,0.00,0.00,0,1.702,1.656,-0.244,-0.098,-0.132,0.992,41.31,1193.00,685.00,-877.00,3099.0000
2901,0.00,0.00,0.00,0,1.702,1.618,-0.244,-0.098,-0.130,0.990,41.32,1183.00,665.00,-895.00,3101.0000
2930,0.00,0.00,0.00,0,1.641,1.702,-0.237,-0.098,-0.135,0.990,41.30,1181.00,670.00,-890.00,3098.0000
2959,0.00,0.00,0.00,0,1.649,1.695,-0.267,-0.095,-0.128,0.994,41.32,1191.00,677.00,-895.00,3101.0000
2988,0.00,0.00,0.00,0,1.664,1.656,-0.237,-0.096,-0.131,0.988,41.30,1176.00,682.00,-897.00,3099.0000
3022,0.00,0.00,0.00,0,1.618,1.634,-0.198,-0.094,-0.136,0.991,41.31,1200.00,675.00,-885.00,3101.0000
3050,0.00,0.00,0.00,0,1.656,1.611,-0.214,-0.099,-0.132,0.990,41.30,1186.00,672.00,-882.00,3099.0000
3079,0.00,0.00,0.00,0,1.618,1.618,-0.244,-0.098,-0.134,0.989,41.30,1193.00,682.00,-892.00,3102.0000
3108,0.00,0.00,0.00,0,1.641,1.634,-0.198,-0.095,-0.132,0.990,41.30,1186.00,670.00,-880.00,3099.0000
3139,0.00,0.00,0.00,0,1.626,1.618,-0.244,-0.096,-0.131,0.994,41.30,1193.00,685.00,-890.00,3098.0000
3173,0.00,0.00,0.00,0,1.634,1.595,-0.267,-0.097,-0.134,0.990,41.31,1178.00,670.00,-877.00,3100.0000
3202,0.00,0.00,0.00,0,1.603,1.664,-0.229,-0.098,-0.135,0.995,41.32,1186.00,670.00,-900.00,3097.0000
3231,0.00,0.00,0.00,0,1.656,1.618,-0.252,-0.098,-0.130,0.990,41.32,1198.00,682.00,-890.00,3099.0000
3260,0.00,0.00,0.00,0,1.656,1.634,-0.198,-0.094,-0.132,0.990,41.30,1193.00,680.00,-897.00,3099.0000
3289,0.00,0.00,0.00,0,1.634,1.687,-0.237,-0.099,-0.133,0.996,41.30,1178.00,682.00,-900.00,3099.0000
3323,0.00,0.00,0.00,0,1.649,1.611,-0.214,-0.094,-0.132,0.989,41.29,1188.00,687.00,-897.00,3102.0000
3352,0.00,0.00,0.00,0,1.618,1.626,-0.260,-0.097,-0.129,0.992,41.30,1191.00,665.00,-887.00,3101.0000
3381,0.00,0.00,0.00,0,1.664,1.611,-0.244,-0.095,-0.131,0.997,41.32,1191.00,680.00,-895.00,3097.0000
3410,0.00,0.00,0.00,0,1.656,1.656,-0.183,-0.101,-0.131,0.992,41.32,1207.00,680.00,-895.00,3099.0000
3439,0.00,0.00,0.00,0,1.656,1.618,-0.198,-0.095,-0.133,0.990,41.31,1186.00,670.00,-892.00,3099.0000
3473,0.00,0.00,0.00,0,1.649,1.618,-0.214,-0.097,-0.133,0.990,41.31,1191.00,672.00,-900.00,3098.0000
3502,0.00,0.00,0.00,0,1.649,1.664,-0.229,-0.096,-0.131,0.990,41.31,1176.00,670.00,-890.00,3099.0000
3531,0.00,0.00,0.00,0,1.649,1.656,-0.229,-0.094,-0.132,0.992,41.32,1173.00,682.00,-882.00,3099.0000
